INS Number,Name,Functional class,Safety Rating (Safe/Caution/High Risk),Health Concern,ADI (Acceptable Daily Intake),EU Warning,US Warning
354,"Calcium tartrate, DL-",Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
355,Adipic acid,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
356,Sodium adipates,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
357,Potassium adipates,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
359,Ammonium adipates,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
363,Succinic acid,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
364,Sodium succinates,,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
364(i),Monosodium succinate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
364(ii),Disodium succinate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
365,Sodium fumarates,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
366,Potassium fumarates,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
367,Calcium fumarates,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
368,Ammonium fumarate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
370,"Heptonolactone, 1,4-",Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
375,Nicotinic acid,Colour-retention agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
380,Triammonium citrate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
381,Ferric ammonium citrate,Anticaking agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
383,Calcium glycerophosphate,Gelling agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
384,Isopropyl citrates,Antioxidant,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
385,Calcium disodium ethylenediaminetetraacetate,Antioxidant,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
386,Disodium ethylenediaminetetraacetate,Antioxidant,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
387,Oxystearin,Antioxidant,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
388,Thiodipropionic acid,Antioxidant,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
389,Dilauryl thiodipropionate,Antioxidant,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
390,Distearyl thiodipropionate,Antioxidant,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
391,Phytic acid,Preservative,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
392,Rosemary extract,Antioxidant,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
399,Calcium lactobionate,Stabilizer,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
400,Alginic acid,Bulking agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
401,Sodium alginate,Bulking agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
402,Potassium alginate,Bulking agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
403,Ammonium alginate,Bulking agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
404,Calcium alginate,Bulking agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
405,Propylene glycol alginate,Bulking agent,Safe,"Toxicity only at extreme, non-food doses",25 mg/kg bw,Approved,Approved
406,Agar,Bulking agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
407,Carrageenan,Bulking agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
407a,Processed euchema seaweed (PES),Bulking agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
408,Baker's yeast glycan,Gelling agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
409,Arabinogalactan,Gelling agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
410,Carob bean gum,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
411,Oat gum,Stabilizer,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
412,Guar gum,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
413,Tragacanth gum,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
414,Gum arabic (Acacia gum),Bulking agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
415,Xanthan gum,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
416,Karaya gum,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
417,Tara gum,Gelling agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
418,Gellan,,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
418(i),Gellan gum,Gelling agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
418(ii),Low-acyl clarified gellan gum,Gelling agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
419,Gum ghatti,Carrier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
420,Sorbitols,,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
420(i),Sorbitol,Bulking agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
420(ii),Sorbitol syrup,Bulking agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
421,Mannitol,Anticaking agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
422,Glycerol,Humectant,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
423,Octenyl succinic acid (OSA) modified gum arabic,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
424,Curdlan,Firming agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
425,Konjac flour,Carrier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
426,Soybean hemicellulose,Anticaking agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
427,Cassia gum,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
428,Gelatin,Carrier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
429,Peptones,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
430,Polyoxyethylene (8) stearate,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
431,Polyoxyethylene (40) stearate,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
432,Polyoxyethylene (20) sorbitan monolaurate,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
433,Polyoxyethylene (20) sorbitan monooleate,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
434,Polyoxyethylene (20) sorbitan monopalmitate,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
435,Polyoxyethylene (20) sorbitan monostearate,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
436,Polyoxyethylene (20) sorbitan tristearate,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
437,Tamarind seed polysaccharide,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
440,Pectins,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
441,Superglycerinated hydrogenated rapeseed oil,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
442,Ammonium salts of phosphatidic acid,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
443,Brominated vegetable oils,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
444,Sucrose acetate isobutyrate,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
445,Glycerol esters of rosin,,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
445(i),Glycerol ester of gum rosin,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
445(ii),Glycerol ester of tall oil rosin,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
445(iii),Glycerol ester of wood rosin,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
446,Succistearin,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
450,Diphosphates,,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
450(i),Disodium diphosphate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
450(ii),Trisodium diphosphate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
450(iii),Tetrasodium diphosphate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
450(iv),Dipotassium diphosphate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
450(v),Tetrapotassium diphosphate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
450(vi),Dicalcium diphosphate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
450(vii),Calcium dihydrogen diphosphate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
450(viii),Dimagnesium diphosphate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
450(ix),Magnesium dihydrogen diphosphate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
451,Triphosphates,,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
451(i),Pentasodium triphosphate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
451(ii),Pentapotassium triphosphate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
451(iii),Sodium potassium triphosphate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
452,Polyphosphates,,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
452(i),Sodium polyphosphate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
452(ii),Potassium polyphosphate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
452(iii),Sodium calcium polyphosphate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
452(iv),Calcium polyphosphate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
452(v),Ammonium polyphosphate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
452(vi),Sodium potassium hexametaphosphate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
453,Ferric (III)-orthophosphate,Colour,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
454,Ferric(III)-pyrophosphate,Carrier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
455,Yeast mannoproteins,Stabilizer,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
456,Potassium polyaspartate,Stabilizer,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
457,"Cyclodextrin, alpha-",Stabilizer,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
458,"Cyclodextrin, gamma-",Stabilizer,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
459,"Cyclodextrin, beta-",Carrier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
460,Celluloses,,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
460(i),Microcrystalline cellulose (cellulose gel),Anticaking agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
460(ii),Powdered cellulose,Anticaking agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
461,Methyl cellulose,Bulking agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
462,Ethyl cellulose,Bulking agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
463,Hydroxypropyl cellulose,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
464,Hydroxypropyl methyl cellulose,Bulking agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
465,Methyl ethyl cellulose,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
466,Sodium carboxymethyl cellulose (cellulose gum),Bulking agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
467,Ethyl hydroxyethyl cellulose,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
468,Cross-linked sodium carboxymethyl cellulose,Stabilizer,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
469,Sodium carboxymethyl cellulose enzymatically hydrolysed,Stabilizer,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
470,"Salts of fatty acids (Al, NH4, Ca, Mg, K, Na)",,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
470(i),"Salts of myristic, palmitic and stearic acids",Anticaking agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
470(ii),Salts of oleic acid with calcium potassium sodium,Anticaking agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
470(iii),Magnesium stearate,Anticaking agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
471,Mono-and di-glycerides of fatty acids,Antifoaming agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
472a,Acetic and fatty acid esters of glycerol,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
472b,Lactic and fatty acid esters of glycerol,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
472c,Citric and fatty acid esters of glycerol,Antioxidant,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
472d,Tartaric acid esters of mono- and di-glycerides,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
472e,Diacetyltartaric and fatty acid esters of glycerol,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
472g,Succinylated monoglycerides,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
473,Sucrose esters of fatty acids,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
473a,"Sucrose oligoesters, type I and type II",Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
474,Sucroglycerides,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
475,Polyglycerol esters of fatty acids,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
476,Polyglycerol esters of interesterified ricinoleic acid,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
477,Propylene glycol esters of fatty acids,Emulsifier,Safe,"Toxicity only at extreme, non-food doses",25 mg/kg bw,Approved,Approved
478,Lactylated fatty acid esters of glycerol and propylene glycol,Emulsifier,Safe,"Toxicity only at extreme, non-food doses",25 mg/kg bw,Approved,Approved
479,Thermally oxidized soya bean oil interacted with mono- and di-glycerides,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
480,Dioctyl sodium sulfosuccinate,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
481,Sodium lactylates,,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
481(i),Sodium stearoyl lactylate,Flour treatment agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
481(ii),Sodium oleyl lactylate,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
482,Calcium lactylates,,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
482(i),Calcium stearoyl lactylate,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
482(ii),Calcium oleyl lactylate,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
483,Stearyl tartrate,Flour treatment agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
484,Stearyl citrate,Antioxidant,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
485,Sodium stearoyl fumarate,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
486,Calcium stearoyl fumarate,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
487,Sodium laurylsulphate,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
488,Ethoxylated mono-and di-glycerides,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
489,Methyl glucoside-coconut oil ester,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
491,Sorbitan monostearate,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
492,Sorbitan tristearate,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
493,Sorbitan monolaurate,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
494,Sorbitan monooleate,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
495,Sorbitan monopalmitate,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
496,Sorbitan trioleate,Stabilizer,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
499,Stigmasterol-rich plant sterols,Stabilizer,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
500,Sodium carbonates,,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
500(i),Sodium carbonate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
500(ii),Sodium hydrogen carbonate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
500(iii),Sodium sesquicarbonate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
501,Potassium carbonates,,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
501(i),Potassium carbonate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
501(ii),Potassium hydrogen carbonate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
503,Ammonium carbonates,,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
503(i),Ammonium carbonate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
503(ii),Ammonium hydrogen carbonate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
504,Magnesium carbonates,,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
504(i),Magnesium carbonate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
504(ii),Magnesium hydroxide carbonate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
505,Ferrous carbonate,Colour-retention agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
507,Hydrochloric acid,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
508,Potassium chloride,Firming agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
509,Calcium chloride,Firming agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
510,Ammonium chloride,Flour treatment agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
511,Magnesium chloride,Colour-retention agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
512,Stannous chloride,Antioxidant,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
513,Sulphuric acid,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
514,Sodium sulphates,,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
514(i),Sodium sulphate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
514(ii),Sodium hydrogen sulphate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
515,Potassium sulphates,,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
515(i),Potassium sulphate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
515(ii),Potassium hydrogen sulphate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
516,Calcium sulphate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
517,Ammonium sulphate,Flour treatment agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
518,Magnesium sulphate,Firming agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
519,Cupric sulphate,Colour-retention agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
520,Aluminium sulphate,Firming agent,Caution,Potential neurotoxicity at high exposure,2 mg/kg bw (provisional),Approved (restricted uses/limits),Approved
521,Aluminium sodium sulphate,Acidity regulator,Caution,Potential neurotoxicity at high exposure,2 mg/kg bw (provisional),Approved (restricted uses/limits),Approved
522,Aluminium potassium sulphate,Acidity regulator,Caution,Potential neurotoxicity at high exposure,2 mg/kg bw (provisional),Approved (restricted uses/limits),Approved
523,Aluminium ammonium sulphate,Acidity regulator,Caution,Potential neurotoxicity at high exposure,2 mg/kg bw (provisional),Approved (restricted uses/limits),Approved
524,Sodium hydroxide,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
525,Potassium hydroxide,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
526,Calcium hydroxide,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
527,Ammonium hydroxide,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
528,Magnesium hydroxide,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
529,Calcium oxide,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
530,Magnesium oxide,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
534,Iron tartrate:,Anticaking agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
535,Sodium ferrocyanide,Anticaking agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
536,Potassium ferrocyanide,Anticaking agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
537,Ferrous hexacyanomanganate,Anticaking agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
538,Calcium ferrocyanide,Anticaking agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
539,Sodium thiosulphate,Antioxidant,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
541,Sodium aluminium phosphates,,Caution,Potential neurotoxicity at high exposure,2 mg/kg bw (provisional),Approved (restricted uses/limits),Approved
541(i),"Sodium aluminium phosphate, acidic",Acidity regulator,Caution,Potential neurotoxicity at high exposure,2 mg/kg bw (provisional),Approved (restricted uses/limits),Approved
541(ii),"Sodium aluminium phosphate, basic",Acidity regulator,Caution,Potential neurotoxicity at high exposure,2 mg/kg bw (provisional),Approved (restricted uses/limits),Approved
542,Bone phosphate,Anticaking agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
550,Sodium silicates,,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
550(i),Sodium silicate,Anticaking agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
550(ii),Sodium metasilicate,Anticaking agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
551,"Silicon dioxide, amorphous",Anticaking agent,Caution,"Asthma exacerbation, allergic reactions in sensitive individuals",0.7 mg/kg bw,Approved (mandatory allergen labeling if >10mg/kg),Approved (mandatory labeling)
552,Calcium silicate,Anticaking agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
553,Magnesium silicates,,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
553(i),"Magnesium silicate, synthetic",Anticaking agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
553(ii),Magnesium trisilicate,Anticaking agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
553(iii),Talc,Anticaking agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
554,Sodium aluminium silicate,Anticaking agent,Caution,Potential neurotoxicity at high exposure,2 mg/kg bw (provisional),Approved (restricted uses/limits),Approved
555,Potassium aluminium silicate,Anticaking agent,Caution,Potential neurotoxicity at high exposure,2 mg/kg bw (provisional),Approved (restricted uses/limits),Approved
556,Calcium aluminium silicate,Anticaking agent,Caution,Potential neurotoxicity at high exposure,2 mg/kg bw (provisional),Approved (restricted uses/limits),Approved
557,Zinc silicate,Anticaking agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
558,Bentonite,Anticaking agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
559,Aluminium silicate,Anticaking agent,Caution,Potential neurotoxicity at high exposure,2 mg/kg bw (provisional),Approved (restricted uses/limits),Approved
560,Potassium silicate,Anticaking agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
570,Fatty acids,Antifoaming agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
574,"Gluconic acid, D-",Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
575,Glucono delta-lactone,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
576,Sodium gluconate,Sequestrant,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
577,Potassium gluconate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
578,Calcium gluconate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
579,Ferrous gluconate,Colour-retention agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
580,Magnesium gluconate,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
585,Ferrous lactate,Colour-retention agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
586,"Hexylresorcinol, 4-",Antioxidant,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
620,"Glutamic acid, L(+)-",Flavour enhancer,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
621,Monosodium L-glutamate,Flavour enhancer,Caution,MSG symptom complex in highly sensitive individuals,Not specified (self-limiting),Approved,Approved (requires labeling)
622,Monopotassium L-glutamate,Flavour enhancer,Caution,MSG symptom complex in highly sensitive individuals,Not specified (self-limiting),Approved,Approved (requires labeling)
623,Calcium di-L-glutamate,Flavour enhancer,Caution,MSG symptom complex in highly sensitive individuals,Not specified (self-limiting),Approved,Approved (requires labeling)
624,Monoammonium L-glutamate,Flavour enhancer,Caution,MSG symptom complex in highly sensitive individuals,Not specified (self-limiting),Approved,Approved (requires labeling)
625,Magnesium di-L-glutamate,Flavour enhancer,Caution,MSG symptom complex in highly sensitive individuals,Not specified (self-limiting),Approved,Approved (requires labeling)
626,"Guanylic acid, 5'-",Flavour enhancer,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
627,Disodium 5-guanylate,Flavour enhancer,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
628,Dipotassium 5'-guanylate,Flavour enhancer,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
629,Calcium 5'-guanylate,Flavour enhancer,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
630,"Inosinic acid, 5-",Flavour enhancer,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
631,Disodium 5'-inosinate,Flavour enhancer,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
632,Potassium 5'-inosinate,Flavour enhancer,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
633,Calcium 5'-inosinate,Flavour enhancer,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
634,Calcium 5'-ribonucleotides,Flavour enhancer,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
635,Disodium 5'-ribonucleotides,Flavour enhancer,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
636,Maltol,Flavour enhancer,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
637,Ethyl maltol,Flavour enhancer,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
638,Sodium L-aspartate,Flavour enhancer,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
639,"Alanine, DL-",Flavour enhancer,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
640,Glycine,Flavour enhancer,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
641,"Leucine, L-",Flavour enhancer,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
642,Lysin hydrochloride,Flavour enhancer,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
650,Zinc acetate,Flavour enhancer,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
900a,Polydimethylsiloxane,Anticaking agent,Safe,None at normal levels,1.5 mg/kg bw,Approved,Approved
900b,Methylphenylpolysiloxane,Antifoaming agent,Safe,None at normal levels,1.5 mg/kg bw,Approved,Approved
901,Beeswax,Carrier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
